order_id,order_date,ship_date,Revenue,Profit,Profit_Margin
ORDER_000001,1/13/2011,1/18/2011,3176,3099.4,98%
ORDER_000002,1/13/2011,1/18/2011,4800,4744.38,99%
ORDER_000003,1/13/2011,1/17/2011,201,169.22,84%
ORDER_000004,1/13/2011,1/19/2011,395.5,380.97,96%
ORDER_000005,1/13/2011,1/18/2011,76,73.34,97%
ORDER_000006,1/13/2011,1/17/2011,129.6,127.4,98%
ORDER_000007,1/13/2011,1/20/2011,154.5,152.34,99%
ORDER_000008,1/13/2011,1/19/2011,99.5,97.99,98%
ORDER_000009,1/13/2011,1/19/2011,87.5,86.21,99%
ORDER_000010,1/13/2011,1/17/2011,31.9,31.18,98%
ORDER_000011,1/13/2011,1/19/2011,26.5,26.07,98%
ORDER_000012,1/14/2011,1/19/2011,6630,6442.35,97%
ORDER_000013,1/14/2011,1/16/2011,3438,3291.71,96%
ORDER_000014,1/14/2011,1/16/2011,3882,3740.65,96%
ORDER_000015,1/14/2011,1/19/2011,1458,1404.98,96%
ORDER_000016,1/14/2011,1/17/2011,3276,3223.68,98%
ORDER_000017,1/14/2011,1/19/2011,2640,2590.08,98%
ORDER_000018,1/14/2011,1/19/2011,1001.85,961.41,96%
ORDER_000019,1/14/2011,1/19/2011,2464,2433.66,99%
ORDER_000020,1/14/2011,1/20/2011,1179,1151.33,98%
ORDER_000021,1/14/2011,1/15/2011,424,397.77,94%
ORDER_000022,1/14/2011,1/21/2011,1632,1608.11,99%
ORDER_000023,1/14/2011,1/16/2011,153,140.34,92%
ORDER_000024,1/14/2011,1/20/2011,2952,2940.12,100%
ORDER_000025,1/14/2011,1/18/2011,219.4,207.87,95%
ORDER_000026,1/14/2011,1/21/2011,296.75,287.04,97%
ORDER_000027,1/14/2011,1/21/2011,239.55,230.12,96%
ORDER_000028,1/14/2011,1/20/2011,327,320.89,98%
ORDER_000029,1/14/2011,1/18/2011,78.4,72.56,93%
ORDER_000030,1/14/2011,1/18/2011,295.4,290.92,98%
ORDER_000031,1/14/2011,1/20/2011,528,524.39,99%
ORDER_000032,1/14/2011,1/19/2011,100,96.97,97%
ORDER_000033,1/14/2011,1/16/2011,22,19.12,87%
ORDER_000034,1/14/2011,1/19/2011,258.8,257.34,99%
ORDER_000035,1/14/2011,1/16/2011,18,17.15,95%
ORDER_000036,1/14/2011,1/18/2011,315.4,314.97,100%
ORDER_000037,1/14/2011,1/19/2011,5.3,5.03,95%
ORDER_000038,1/15/2011,1/20/2011,1054,961.9,91%
ORDER_000039,1/15/2011,1/18/2011,1303.9,1215.38,93%
ORDER_000040,1/15/2011,1/17/2011,794.8,751.24,95%
ORDER_000041,1/15/2011,1/15/2011,599.73,578.58,96%
ORDER_000042,1/15/2011,1/15/2011,152.73,131.6,86%
ORDER_000043,1/15/2011,1/20/2011,248.9,233.82,94%
ORDER_000044,1/15/2011,1/16/2011,247.5,236.54,96%
ORDER_000045,1/15/2011,1/20/2011,850,841.58,99%
ORDER_000046,1/15/2011,1/20/2011,110,105.88,96%
ORDER_000047,1/15/2011,1/21/2011,44.3,40.87,92%
ORDER_000048,1/15/2011,1/21/2011,113.3,111.84,99%
ORDER_000049,1/15/2011,1/21/2011,29.3,28.28,97%
ORDER_000050,1/15/2011,1/20/2011,42,41.24,98%
ORDER_000051,1/16/2011,1/18/2011,750,704.76,94%
ORDER_000052,1/17/2011,1/22/2011,15531.998,15372.478,99%
ORDER_000053,1/17/2011,1/19/2011,3300,3261.3,99%
ORDER_000054,1/17/2011,1/19/2011,761.8,725.4,95%
ORDER_000055,1/17/2011,1/19/2011,371.6,345.48,93%
ORDER_000056,1/17/2011,1/19/2011,89.8,79.63,89%
ORDER_000057,1/17/2011,1/19/2011,419.9,412.57,98%
ORDER_000058,1/17/2011,1/19/2011,379.9,373.34,98%
ORDER_000059,1/17/2011,1/19/2011,137.9,131.44,95%
ORDER_000060,1/17/2011,1/18/2011,147.6,142.12,96%
ORDER_000061,1/17/2011,1/19/2011,37.3,32.04,86%
ORDER_000062,1/17/2011,1/21/2011,37.9,33.94,90%
ORDER_000063,1/17/2011,1/23/2011,50.5,50.1,99%
ORDER_000064,1/18/2011,1/21/2011,2983.9,2851.61,96%
ORDER_000065,1/18/2011,1/21/2011,864,845.64,98%
ORDER_000066,1/18/2011,1/23/2011,114,109.3,96%
ORDER_000067,1/18/2011,1/23/2011,25.5,22.97,90%
ORDER_000068,1/18/2011,1/21/2011,14,11.52,82%
ORDER_000069,1/19/2011,1/21/2011,5852,5708.33,98%
ORDER_000070,1/19/2011,1/20/2011,435,376.75,87%
ORDER_000071,1/19/2011,1/24/2011,2864,2827.71,99%
ORDER_000072,1/19/2011,1/24/2011,452,426.19,94%
ORDER_000073,1/19/2011,1/23/2011,833.63,812.41,97%
ORDER_000074,1/19/2011,1/20/2011,143.6,128.37,89%
ORDER_000075,1/19/2011,1/21/2011,41,28.32,69%
ORDER_000076,1/19/2011,1/22/2011,259.8,254.76,98%
ORDER_000077,1/19/2011,1/24/2011,106,101.9,96%
ORDER_000078,1/19/2011,1/21/2011,144,140.46,98%
ORDER_000079,1/19/2011,1/22/2011,16,14.6,91%
ORDER_000080,1/20/2011,1/20/2011,1650,1561.03,95%
ORDER_000081,1/20/2011,1/20/2011,744,661.33,89%
ORDER_000082,1/20/2011,1/21/2011,904.3,874.62,97%
ORDER_000083,1/20/2011,1/22/2011,141,120.07,85%
ORDER_000084,1/20/2011,1/25/2011,195.8,178.72,91%
ORDER_000085,1/20/2011,1/21/2011,223.8,209.31,94%
ORDER_000086,1/20/2011,1/20/2011,49,37.36,76%
ORDER_000087,1/20/2011,1/21/2011,544.8,534.41,98%
ORDER_000088,1/20/2011,1/25/2011,116,107.23,92%
ORDER_000089,1/20/2011,1/20/2011,48,40.08,84%
ORDER_000090,1/20/2011,1/24/2011,147.3,141.22,96%
ORDER_000091,1/20/2011,1/21/2011,319.3,313.27,98%
ORDER_000092,1/20/2011,1/24/2011,95.3,91.56,96%
ORDER_000093,1/20/2011,1/22/2011,10,7.95,80%
ORDER_000094,1/20/2011,1/22/2011,11,9.52,87%
ORDER_000095,1/20/2011,1/24/2011,416.9,415.67,100%
ORDER_000096,1/21/2011,1/27/2011,16781.8,16461.42,98%
ORDER_000097,1/21/2011,1/27/2011,7464,7375.34,99%
ORDER_000098,1/21/2011,1/27/2011,3204,3118.28,97%
ORDER_000099,1/21/2011,1/27/2011,4900,4868.48,99%
ORDER_000100,1/21/2011,1/27/2011,1620,1593.27,98%
ORDER_000101,1/21/2011,1/27/2011,554,529.25,96%
ORDER_000102,1/21/2011,1/27/2011,819,798.32,97%
ORDER_000103,1/21/2011,1/27/2011,364,344.9,95%
ORDER_000104,1/21/2011,1/26/2011,990,971.57,98%
ORDER_000105,1/21/2011,1/27/2011,991.9,977.37,99%
ORDER_000106,1/21/2011,1/27/2011,535,526.08,98%
ORDER_000107,1/21/2011,1/27/2011,134,125.6,94%
ORDER_000108,1/21/2011,1/27/2011,170,163.94,96%
ORDER_000109,1/21/2011,1/27/2011,488,482.78,99%
ORDER_000110,1/21/2011,1/27/2011,132,127.12,96%
ORDER_000111,1/21/2011,1/26/2011,61,56.39,92%
ORDER_000112,1/21/2011,1/27/2011,66.3,63.3,95%
ORDER_000113,1/21/2011,1/27/2011,69,66.4,96%
ORDER_000114,1/21/2011,1/27/2011,156,153.43,98%
ORDER_000115,1/21/2011,1/25/2011,103.53,101.51,98%
ORDER_000116,1/21/2011,1/27/2011,150,148.02,99%
ORDER_000117,1/21/2011,1/27/2011,27,25.42,94%
ORDER_000118,1/21/2011,1/27/2011,36,34.71,96%
ORDER_000119,1/21/2011,1/27/2011,161,159.78,99%
ORDER_000120,1/21/2011,1/27/2011,95,93.79,99%
ORDER_000121,1/21/2011,1/27/2011,14,12.86,92%
ORDER_000122,1/21/2011,1/26/2011,38,37.06,98%
ORDER_000123,1/21/2011,1/27/2011,45,44.29,98%
ORDER_000124,1/21/2011,1/26/2011,38,37.36,98%
ORDER_000125,1/21/2011,1/27/2011,21,20.53,98%
ORDER_000126,1/22/2011,1/26/2011,6222.6,6126.15,98%
ORDER_000127,1/22/2011,1/26/2011,1650,1572.92,95%
ORDER_000128,1/22/2011,1/26/2011,3330,3256.73,98%
ORDER_000129,1/22/2011,1/23/2011,359.6,332.17,92%
ORDER_000130,1/22/2011,1/24/2011,190,168.4,89%
ORDER_000131,1/22/2011,1/26/2011,808,789.04,98%
ORDER_000132,1/22/2011,1/27/2011,518,506.09,98%
ORDER_000133,1/22/2011,1/26/2011,876,865.77,99%
ORDER_000134,1/22/2011,1/26/2011,218,209,96%
ORDER_000135,1/22/2011,1/26/2011,54,48.87,91%
ORDER_000136,1/22/2011,1/26/2011,64.85,60.47,93%
ORDER_000137,1/22/2011,1/24/2011,74.8,71.16,95%
ORDER_000138,1/22/2011,1/27/2011,307.4,305.04,99%
ORDER_000139,1/22/2011,1/23/2011,5.6,3.83,68%
ORDER_000140,1/22/2011,1/26/2011,24,23.73,99%
ORDER_000141,1/23/2011,1/23/2011,4408,4261.88,97%
ORDER_000142,1/23/2011,1/23/2011,2760,2714.23,98%
ORDER_000143,1/23/2011,1/23/2011,96,90.45,94%
ORDER_000144,1/23/2011,1/23/2011,78,74.39,95%
ORDER_000145,1/23/2011,1/23/2011,48,44.73,93%
ORDER_000146,1/23/2011,1/27/2011,68,66.09,97%
